Rubro;Nombre;Costo;Pre.;Ganancia;Pre pack;Ganancia pack.;01/01/2001;01/02/2001;01/03/2001;01/04/2001;Precio pack;01/05/2001;02/05/2001;03/05/2001;04/05/2001;01/01/2001;01/02/2001;01/03/2001;01/04/2001;Codigo pack;Cant. pack;Stock Minimo;Cod.;Stock;Mod.
BANDEJAS CARTÖN;BANDEJAS CARTON REDONDA N 14;36;80;122,22;3000;66,67;30;40;20;0;60;47;50;43;36;2340;2520;2160;1800;239000;50;100;1040;294;04/02/2024
BANDEJAS ALUMINIO;###############################################################################################################################################################################################################################################################;120;255;112,5;19500;62,5;29,17;41,67;20;0;195;155;170;144;120;15500;17000;14400;12000;312000;100;100;312;0;04/02/2024
SORBETES;BENGALAS;300;700;133,33;500;66,67;30;40;20;0;500;390;420;360;300;390;420;360;300;189000;1;10;1009;21;04/02/2024
BOLSAS BOBINA;BOB ARRANQ. 35X45X1,2KG;3350;7050;110,45;5350;59,7;30;40,3;20;0;5350;4355;4700;4020;3350;4355;4700;4020;3350;157000;1;50;1064;12;04/02/2024
BOLSAS BOBINA;BOB. ARRANQ. 20X30X1,2KG;3350;7050;110,45;5350;59,7;30;40,3;20;0;5350;4355;4700;4020;3350;4355;4700;4020;3350;34000;1;50;1065;182;04/02/2024
BOLSAS BOBINA;BOB. ARRANQ. 25X35 1,2KG;3350;7050;110,45;5350;59,7;30;40,3;20;0;5350;4355;4700;4020;3350;4355;4700;4020;3350;35000;1;50;1066;271;04/02/2024
BOLSAS BOBINA;BOB. ARRANQ. 30X40X1,2KG;3350;7050;110,45;5350;59,7;30;40,3;20;0;5350;4355;4700;4020;3350;4355;4700;4020;3350;36000;1;50;1067;33;04/02/2024
BOLSAS BOBINA;BOB. ARRANQ. 50X701,2KG;3350;7050;110,45;5350;59,7;30;40,3;20;0;5350;4355;4700;4020;3350;4355;4700;4020;3350;38000;1;100;1068;264;04/02/2024
BOLSAS BOBINA;BOB. ARRANQUE 60X90X1,2KG;3350;7050;110,45;5350;59,7;30;40,3;20;0;5350;4355;4700;4020;3350;4355;4700;4020;3350;230000;1;20;1069;0;04/02/2024
TOALLAS HIGIENICOS PAPEL INDUST;BOB. INDUSTRIAL KING PACK X 25cmX400mts Bca;7396;16400;121,74;23700;60,22;30,07;39,94;20;0;11850;9620;10350;8875;7396;19240;20700;17750;14792;15000;2;50;2012;112;04/02/2024
PAPELES;BOB. PAPEL GRIS X 60CM (12,500)KG;11000;22500;104,55;17600;60;30;40,91;20;0;17600;14300;15500;13200;11000;14300;15500;13200;11000;265000;1;5;1159;6;04/02/2024
BOLSAS BOBINA;BOB.ARRANQ 40X60X1,2 KG;3350;7050;110,45;5350;59,7;30;40,3;20;0;5350;4355;4700;4020;3350;4355;4700;4020;3350;37000;1;50;1070;56;04/02/2024
BOLSAS BOBINA;BOBINA 15X25X400GR;802;1690;110,72;1290;60,85;29,68;40;20;0;1290;1040;1123;962;802;1040;1123;962;802;32000;1;50;1071;-16;04/02/2024
PAPELES;BOBINA DE PAPEL GRIS X 40 CM (8.500 KG) x 40cm;7480;16100;115,24;12000;60,43;30,01;39,71;20;0;12000;9725;10450;8976;7480;9725;10450;8976;7480;159000;1;20;1160;307;04/02/2024
PAPELES;BOBINA PAPEL GRIS X 20 CM X 3.500KG;3080;6500;111,04;5000;62,34;29,87;39,61;20;0;5000;4000;4300;3696;3080;4000;4300;3696;3080;227000;1;10;1161;8;04/02/2024
PAPELES;BOBINA X 40 CM PAPEL PANADERIA X (4.500)KG;11038;23000;108,37;17800;61,26;30,01;39,97;20;0;17800;14351;15450;13246;11038;14351;15450;13246;11038;2057000;1;100;2057;4;04/02/2024
PAPELES;BOBINA X 60 CM PAPEL PANADERIA X (6.500) KG;15942;32000;100,73;25600;60,58;60;40;30;20;25600;25507;22319;20725;19130;25507;22319;20725;19130;2061000;1;10;2061;8;
RESIDUOS CONSORCIOS;BOLSA DE HORNO X 10 UNID.;550;1200;118,18;900;63,64;30,91;40;20;0;900;720;770;660;550;720;770;660;550;49000;1;100;1190;15;04/02/2024
BOLSAS CAMISETAS;BOLSAS CAM 50X60 BCASX100;1738;3650;110;2300;32,34;30;38,09;20;0;2300;2259;2400;2086;1738;2259;2400;2086;1738;153000;1;100;1074;143;04/02/2024
BOLSAS CAMISETAS;BOLSAS CAM. 30X40 BCASX100;648;1300;100,62;1100;69,75;30;38,89;20;0;1100;842;900;778;648;842;900;778;648;39000;1;100;1075;2;04/02/2024
BOLSAS CAMISETAS;BOLSAS CAM. 40X50 BCASX100;974;1900;95,07;1560;60,16;29,36;40,66;20;0;1560;1260;1370;1169;974;1260;1370;1169;974;40000;1;300;1078;149;04/02/2024
BOLSAS CAMISETAS;BOLSAS CAM. 40X50 REF BCAS X100 F.AZUL;1044;2200;110,73;1700;62,84;30,27;39,85;20;0;1700;1360;1460;1253;1044;1360;1460;1253;1044;42000;1;100;1076;92;04/02/2024
BOLSAS CAMISETAS;BOLSAS CAM. 50X70 BCAS X100;2321;4800;106,81;3800;63,72;30,12;42,18;20;0;3800;3020;3300;2785;2321;3020;3300;2785;2321;162000;1;100;1077;13;04/02/2024
BOLSAS CAMISETAS;BOLSAS CAM. 60X80 BCASX100;4173;8800;110,88;6650;59,36;30;41,39;20,06;0;6650;5425;5900;5010;4173;5425;5900;5010;4173;45000;1;10;1080;13;04/02/2024
BOLSAS CAMISETAS;BOLSAS CAMISETAS 45X60 REF X 100;1685;3700;119,58;2700;60,24;29,97;40,06;20;0;2700;2190;2360;2022;1685;2190;2360;2022;1685;313000;1;50;1081;20;04/02/2024
BOLSAS CAMISETAS;BOLSAS CAMISETAS NEGRAS 40X50X100;700;1500;114,29;1150;64,29;30;42,86;20;0;1150;910;1000;840;700;910;1000;840;700;150000;1;10;1082;0;04/02/2024
RESIDUOS CONSORCIOS;BOLSAS CONS. 60X90 REF X10 UNID.;600;1500;150;1000;66,67;33,33;41,67;20;0;1000;800;850;720;600;800;850;720;600;48000;1;1000;1191;5240;04/02/2024
RESIDUOS CONSORCIOS;BOLSAS CONS. 80X1,10 REF X 10 UNID.;930;2200;136,56;1500;61,29;29,03;40;20;0;1500;1200;1302;1116;930;1200;1302;1116;930;50000;1;1000;1192;8890;04/02/2024
RESIDUOS CONSORCIOS;BOLSAS CONS. 80X1,10 S.REF X10 UNID.;1300;2800;115,38;2100;61,54;30,77;42,31;20;0;2100;1700;1850;1560;1300;1700;1850;1560;1300;51000;1;1000;1193;749;04/02/2024
BOLSAS PP VARIAS;BOLSAS CUBIERTOS PP 5X25;300;700;133,33;500;66,67;30;40;20;0;500;390;420;360;300;390;420;360;300;271000;1;50;1083;-1;04/02/2024
BOLSAS PAPEL CON MANIJA KP;BOLSAS DELIVERY 20X30 FM5;27;45;66,67;2093;55;30;40;20;0;42;35;38;32;27;1755;1890;1620;1350;129000;50;100;1099;0;04/02/2024
BOLSAS PAPEL CON MANIJA KP;BOLSAS DELIVERY 26X37 FM9;40;70;75;3100;55;60;40;20;0;62;64;56;48;40;3200;2800;2400;2000;130000;50;100;1100;0;04/02/2024
BOLSAS DILIVERY-INDIVIDUELES;BOLSAS DELIVERY 26X38 F10;46;80;73,91;3500;52,17;30;41,3;20;0;70;60;65;55;46;2990;3250;2760;2300;131000;50;50;131;0;04/02/2024
BOLSAS BOBINA;BOLSAS EMBLOCADAS 15X25X100;332;700;110,84;550;65,66;30;41,57;20;0;550;432;470;398;332;432;470;398;332;199000;1;100;1102;40;04/02/2024
BOLSAS BOBINA;BOLSAS EMBLOCADAS 20X30X100;378;800;111,64;600;58,73;29,63;40,21;20;0;600;490;530;454;378;490;530;454;378;148000;1;50;1085;-76;04/02/2024
BOLSAS BOBINA;BOLSAS EMBLOCADAS 25X35X100;535;1130;111,21;850;58,88;30,84;40,19;20;0;850;700;750;642;535;700;750;642;535;200000;1;50;1101;35;04/02/2024
BOLSAS CAMISETAS;BOLSAS EMBLOCADAS 30X40X100;732;1550;111,75;1200;63,93;30,46;43,44;20;0;1200;955;1050;878;732;955;1050;878;732;256000;1;100;1084;36;04/02/2024
BOLSAS CAMISETAS;BOLSAS EMBLOCADAS 35X45X100;943;2000;112,09;1500;59,07;29,9;43,16;20;0;1500;1225;1350;1132;943;1225;1350;1132;943;255000;1;100;1086;0;04/02/2024
BOLSAS CAMISETAS;BOLSAS EMBLOCADAS 40X60X100;1260;2700;114,29;2100;66,67;30,95;40,48;20;0;2100;1650;1770;1512;1260;1650;1770;1512;1260;304000;1;50;1087;30;04/02/2024
BOLSAS PAPEL CON MANIJA KP;01/02/2001;113;250;121,24;200;76,99;28,32;41,59;30;0;200;145;160;147;113;145;160;147;113;217000;1;50;1010;35;04/02/2024
BOLSAS PAPEL CON MANIJA KP;01/03/2001;130;280;115,38;210;61,54;30,77;42,31;20;0;210;170;185;156;130;170;185;156;130;218000;1;50;1011;8;04/02/2024
BANDEJAS ALUMINIO;01/05/2001;160;335;109,38;12750;59,38;31,25;43,75;20;0;255;210;230;192;160;10500;11500;9600;8000;219000;50;50;1012;20;04/02/2024
BOLSAS PAPEL CON MANIJA KP;01/07/2001;100;210;110;160;60;30;40;20;0;160;130;140;120;100;130;140;120;100;220000;1;50;1103;0;04/02/2024
BOLSAS PAPEL CON MANIJA KP;BOLSAS PAPEL KP P/1VINO;120;250;108,33;200;66,67;29,17;40;20;0;200;155;168;144;120;155;168;144;120;215000;1;50;1104;195;04/02/2024
BOLSAS PAPEL CON MANIJA KP;BOLSAS PAPEL KP P/2VINOS;90;200;122,22;150;66,67;27,78;44,44;20;0;150;115;130;108;90;115;130;108;90;216000;1;50;1105;0;04/02/2024
BOLSAS PAPEL PANADERËA;BOLSAS PAPEL N 1 X100;500;1100;120;800;60;30;40;20;0;800;650;700;600;500;650;700;600;500;165000;1;20;1109;0;04/02/2024
BOLSAS PAPEL PANADERËA;BOLSAS PAPEL N 2 X100;732;1550;111,75;1200;63,93;59,84;50,27;29,78;25;1200;1170;1100;950;915;1170;1100;950;915;122000;1;20;1110;14;04/02/2024
BOLSAS PAPEL PANADERËA;BOLSAS PAPEL N 3 X 100;978;2100;114,72;1550;58,49;29,86;40,08;20;0;1550;1270;1370;1174;978;1270;1370;1174;978;123000;1;50;1111;70;04/02/2024
BOLSAS PAPEL PANADERËA;BOLSAS PAPEL N 4 X100;1173;2500;113,13;1900;61,98;29,58;40,66;20;0;1900;1520;1650;1408;1173;1520;1650;1408;1173;124000;1;50;1112;36;04/02/2024
BOLSAS PAPEL PANADERËA;BOLSAS PAPEL N 5 X100;1334;2800;109,9;2150;61,17;30;40,93;19,94;0;2150;1734;1880;1600;1334;1734;1880;1600;1334;125000;1;20;1113;-3;04/02/2024
BOLSAS PAPEL PANADERËA;BOLSAS PAPEL N 6 X100;1572;3300;109,92;2500;59,03;30,09;39,95;20;0;2500;2045;2200;1886;1572;2045;2200;1886;1572;126000;1;20;1114;8;04/02/2024
BOLSAS PAPEL PANADERËA;BOLSAS PAPEL N 7 X100;2030;4300;111,82;3300;62,56;30,05;40,39;20;0;3300;2640;2850;2436;2030;2640;2850;2436;2030;127000;1;50;1115;51;04/02/2024
BOLSAS PAPEL PANADERËA;BOLSAS PAPEL N 8 X 100;2427;5100;110,14;3900;60,69;30,2;40,09;20,11;0;3900;3160;3400;2915;2427;3160;3400;2915;2427;250000;1;50;1116;19;04/02/2024
BOLSAS PP VARIAS;BOLSAS PP 10X15X100;596;1250;109,73;950;59,4;30,87;42,62;20;0;950;780;850;715;596;780;850;715;596;297000;1;10;1088;5;04/02/2024
BOLSAS PP VARIAS;BOLSAS PP 10X20X100;700;1470;110;1120;60;28,57;42,86;20;0;1120;900;1000;840;700;900;1000;840;700;279000;1;10;1089;4;04/02/2024
BOLSAS PP VARIAS;BOLSAS PP 12,5X24 (CD);1030;2170;110,68;1650;60,19;31,07;40;20;0;1650;1350;1442;1236;1030;1350;1442;1236;1030;295000;1;10;1090;3;04/02/2024
BOLSAS PP VARIAS;BOLSAS PP 12X24X100;1015;2150;111,82;1650;62,56;30;39,9;20;0;1650;1320;1420;1218;1015;1320;1420;1218;1015;296000;1;10;1091;3;04/02/2024
BOLSAS PP VARIAS;BOLSAS PP 15X20X100;1100;2310;110;1760;60;30;40;20;0;1760;1430;1540;1320;1100;1430;1540;1320;1100;280000;1;10;1092;1;04/02/2024
BOLSAS PP VARIAS;BOLSAS PP 15X24X100;1192;2500;109,73;1900;59,4;30;40,1;20;0;1900;1550;1670;1430;1192;1550;1670;1430;1192;290000;1;10;1093;0;04/02/2024
BOLSAS PP VARIAS;BOLSAS PP 15X35X100;1460;3100;112,33;2350;60,96;30,14;40,41;20;0;2350;1900;2050;1752;1460;1900;2050;1752;1460;282000;1;10;1094;6;04/02/2024
BOLSAS CAMISETAS;BOLSAS PP 16X24X100;1224;2600;112,42;2000;63,4;29,9;40;20;0;2000;1590;1714;1469;1224;1590;1714;1469;1224;281000;1;10;281;1;04/02/2024
BANDEJAS ALUMINIO;BOLSAS PP 20x30x100;1575;3310;110,16;2520;60;30,16;39,68;20;0;2520;2050;2200;1890;1575;2050;2200;1890;1575;285000;1;10;285;3;04/02/2024
BOLSAS CAMISETAS;BOLSAS PP 25X35X100;2400;5100;112,5;3900;62,5;30;39,58;20;0;3900;3120;3350;2880;2400;3120;3350;2880;2400;283000;1;10;283;93;04/02/2024
BOLSAS CAMISETAS;BOLSAS PP 30X40X100;29;60;106,9;50;72,41;37,93;55,17;20;0;50;40;45;35;29;40;45;35;29;301000;1;10;301;372;04/02/2024
BOLSAS CAMISETAS;BOLSAS PP 40X50;25;60;140;50;100;40;60;20;0;50;35;40;30;25;35;40;30;25;303000;1;10;303;120;04/02/2024
BOLSAS CAMISETAS;BOLSAS PP 40X60 X100;60;130;116,67;100;66,67;33,33;41,67;20;0;100;80;85;72;60;80;85;72;60;294000;1;100;294;290;04/02/2024
BOLSAS CAMISETAS;BOLSAS PP 6X10X100;387;820;111,89;620;60,21;30,49;42,12;20;0;620;505;550;464;387;505;550;464;387;276000;1;10;276;6;04/02/2024
BOLSAS CAMISETAS;BOLSAS PP 6X15X100;520;1100;111,54;850;63,46;29,81;40,38;20;0;850;675;730;624;520;675;730;624;520;298000;1;10;298;5;04/02/2024
BOLSAS CAMISETAS;BOLSAS PP 8X10X100;442;920;108,14;700;58,37;30;47,06;20;0;700;575;650;530;442;575;650;530;442;277000;1;10;277;7;04/02/2024
BOLSAS CAMISETAS;BOLSAS PP 8X15X100;552;1160;110,14;900;63,04;30,43;40,4;20;0;900;720;775;662;552;720;775;662;552;278000;1;10;278;6;04/02/2024
BOLSAS PP VARIAS;BOLSAS PP 8X20X100;673;1420;111;1100;63,45;30,76;41,16;20;0;1100;880;950;808;673;880;950;808;673;302000;1;10;1072;-6;04/02/2024
RESIDUOS CONSORCIOS;BOLSAS RESIDIOS  50X70 PATOJENAS  ROJAS;77;170;120,78;1250;62,34;30;42,86;20;0;125;100;110;92;77;1001;1100;924;770;289000;10;5000;1194;14700;04/02/2024
BOLSAS PP VARIAS;BOLSAS RI•ON BCA 20X30;21;45;114,29;35;66,67;19,05;90,48;20;0;35;25;40;25;21;25;40;25;21;180000;1;100;1095;3000;04/02/2024
BOLSAS PP VARIAS;BOLSAS RI•ON BCAS 15X20;13;30;130,77;25;92,31;30,77;46,67;20;0;25;17;19;16;13;17;19;16;13;273000;1;20;1106;23;04/02/2024
BOLSAS CAMISETAS;BOLSAS RI•ON BCAS 25X35;113;250;121,24;9000;59,29;28,32;41,59;20;0;180;145;160;136;113;7250;8000;6780;5650;182000;50;100;182;3000;04/02/2024
BOLSAS PP VARIAS;BOLSAS RI•ON BCAS 30X40;32;70;118,75;50;56,25;40,63;56,25;20;0;50;45;50;38;32;45;50;38;32;183000;1;100;1096;345;04/02/2024
BOLSAS PP VARIAS;BOLSAS RI•ON BCAS 35X45;48;100;108,33;75;56,25;35,42;45,83;20;0;75;65;70;58;48;65;70;58;48;184000;1;100;1097;0;04/02/2024
BOLSAS CAMISETAS;BOLSITAS 4X25X100(JUGUITO);405;800;97,53;650;60,49;30,86;40,74;20;0;650;530;570;486;405;530;570;486;405;2058000;1;10;2058;412;04/02/2024
BOLSAS PP VARIAS;BOLSITAS AJI 10x20x100UNID( AJI);325;700;115,38;520;60;30,77;41,54;20;0;520;425;460;390;325;425;460;390;325;135000;1;50;1098;-2837;04/02/2024
BANDEJAS CARTÖN;BUDINERAS DE PAPEL X 280gr;69;150;117,39;5520;60;30;44,93;20;0;110;90;100;83;69;4485;5000;4140;3450;228000;50;100;1041;198;04/02/2024
BANDEJAS CARTÖN;"CAJA  ""LOVE""";180;380;111,11;2900;61,11;30,56;38,89;20;0;290;235;250;216;180;2350;2500;2160;1800;0;10;10;1013;0;04/02/2024
CAJAS PIZZA - PORTA PANCHO - CONO;CAJA 1/2 METRO MICRO(25X55X5);252;540;114,29;20000;58,73;28,57;38,89;19,64;0;400;324;350;301;252;16200;17500;15075;12600;97000;50;500;1125;599;04/02/2024
CAJAS PIZZA - PORTA PANCHO - CONO;CAJA 1/2 PIZZA ECO (33x17X4cm);47;100;112,77;7520;60;27,66;38,3;20;0;75;60;65;56;47;6000;6500;5640;4700;91000;100;1000;1126;3400;04/02/2024
CAJAS PIZZA - PORTA PANCHO - CONO;CAJA 1/2PIZZA MICRO;112;240;114,29;8736;56;29,5;41,07;20;0;175;145;158;134;112;7252;7900;6720;5600;98000;50;500;1127;5250;04/02/2024
BANDEJAS CARTÖN;CAJA BOMBONES CHICA BLANCA;90;190;111,11;1500;66,67;33,33;38,89;20;0;150;120;125;108;90;1200;1250;1080;900;0;10;10;1014;0;04/02/2024
CAJAS PIZZA - PORTA PANCHO - CONO;04/01/2001;295;700;137,29;470;59,32;28,81;38,98;20;0;470;380;410;354;295;380;410;354;295;2065000;1;100;2065;0;
BANDEJAS CARTÖN;CAJA BOMBONES GRANDE;160;340;112,5;2600;62,5;31,25;40,63;20;0;260;210;225;192;160;2100;2250;1920;1600;0;10;10;1015;0;04/02/2024
CAJAS PIZZA - PORTA PANCHO - CONO;02/01/2001;454;1000;120,26;725;59,69;30;39,87;20;0;725;590;635;545;454;590;635;545;454;2066000;1;100;2066;0;
CAJAS PIZZA - PORTA PANCHO - CONO;CAJA CON VISOR Y BASE MICRO 25X25X12;1895;3800;100,53;3050;60,95;29,82;39,84;20;0;3050;2460;2650;2274;1895;2460;2650;2274;1895;2068000;1;100;2068;0;
CAJAS PIZZA - PORTA PANCHO - CONO;CAJA COOKIES 10X10X5 COLOR;235;500;112,77;375;59,57;29,79;40,43;20;0;375;305;330;282;235;305;330;282;235;2064000;1;100;2064;0;
BANDEJAS CARTÖN;CAJA COOKIES CORAZONES;120;264;120;1440;100;60;40;30;20;240;192;168;156;144;1152;1008;936;864;0;6;10;1016;0;07/01/2024
CAJAS PIZZA - PORTA PANCHO - CONO;CAJA DESAYUNO xxxxxx;1896;4000;110,97;3050;60,86;60;40;30;20;3050;3034;2654;2465;2275;3034;2654;2465;2275;2081000;1;50;2081;10;
BANDEJAS CARTÖN;CAJA EXPLOSIVA MARIO BROSS;550;1150;109,09;8800;60;30;40;20;0;880;715;770;660;550;7150;7700;6600;5500;307000;10;50;1042;4;04/02/2024
BANDEJAS CARTÖN;CAJA EXPLOSIVA PEACH;550;1150;109,09;8800;60;30;40;20;0;880;715;770;660;550;7150;7700;6600;5500;309000;10;50;309;0;04/02/2024
BANDEJAS CARTÖN;CAJA EXPLOSIVA TIK TOK;550;1150;109,09;8800;60;30;40;20;0;880;715;770;660;550;7150;7700;6600;5500;308000;10;50;1043;4;04/02/2024
CAJAS PIZZA - PORTA PANCHO - CONO;CAJA HAMBUR DOBLE ECO;59;125;111,86;9500,18;61,02;30,51;44,07;35,59;10;95;77;85;80;64,9;7700,09;8500,13;7999,81;6490;2083000;100;100;2083;-279;
